density,block,fertilizer,yield
1,1,1,177.2286923
2,2,1,177.5500413
1,3,1,176.4084619
2,4,1,177.7036255
1,1,1,177.1254863
2,2,1,176.7783425
1,3,1,176.7463019
2,4,1,177.0611642
1,1,1,176.2749493
2,2,1,177.9672029
1,3,1,176.6012998
2,4,1,177.0305428
1,1,1,177.4795072
2,2,1,176.8741298
1,3,1,176.1143883
2,4,1,176.0083945
1,1,1,176.1083126
2,2,1,178.3574409
1,3,1,177.2624451
2,4,1,176.9188449
1,1,1,176.2390158
2,2,1,176.5730698
1,3,1,176.0392979
2,4,1,176.8179222
1,1,1,176.1605865
2,2,1,177.2264241
1,3,1,175.938533
2,4,1,177.1649367
1,1,1,175.3608396
2,2,1,177.2769957
1,3,1,175.9454438
2,4,1,175.8827796
1,1,2,176.4793409
2,2,2,176.0443421
1,3,2,177.4124617
2,4,2,177.3608182
1,1,2,177.3854992
2,2,2,176.9758077
1,3,2,177.3797787
2,4,2,177.9979951
1,1,2,176.4348626
2,2,2,176.9332651
1,3,2,175.9834802
2,4,2,177.0340927
1,1,2,176.4367624
2,2,2,176.067745
1,3,2,177.1210486
2,4,2,177.1977214
1,1,2,176.6037241
2,2,2,177.2081714
1,3,2,177.1488286
2,4,2,176.8190767
1,1,2,176.9990669
2,2,2,178.1346046
1,3,2,176.429156
2,4,2,176.6683229
1,1,2,176.8958669
2,2,2,177.7794929
1,3,2,176.414495
2,4,2,176.8788977
1,1,2,177.5806831
2,2,2,176.9572689
1,3,2,175.7475456
2,4,2,177.3525951
1,1,3,177.1041864
2,2,3,178.0796352
1,3,3,176.9034221
2,4,3,177.5402842
1,1,3,177.0327097
2,2,3,178.2860419
1,3,3,176.4054102
2,4,3,176.4308301
1,1,3,177.3963306
2,2,3,176.9255758
1,3,3,177.0550458
2,4,3,177.3441639
1,1,3,177.1283675
2,2,3,177.1683022
1,3,3,176.3539406
2,4,3,179.060899
1,1,3,176.3005171
2,2,3,177.5933524
1,3,3,177.1152452
2,4,3,177.7944574
1,1,3,177.0040381
2,2,3,178.0368584
1,3,3,177.7013663
2,4,3,177.6328083
1,1,3,177.6522746
2,2,3,177.1004179
1,3,3,177.187967
2,4,3,177.4052919
1,1,3,178.1416444
2,2,3,177.7106125
1,3,3,177.6872644
2,4,3,177.118176

