Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
Algeria,205683,5883,141078.0,58722.0,4583,131,230861.0,5144.0,44883589
Angola,63691,1693,52449.0,9549.0,1862,50,1043451.0,30513.0,34196758
Benin,24560,161,23971.0,428.0,1959,13,604310.0,48203.0,12536752
Botswana,184919,2396,181187.0,1336.0,76618,993,1804128.0,747508.0,2413523
Burkina Faso,14793,214,14287.0,292.0,683,10,222837.0,10293.0,21649629
Burundi,19894,38,773.0,19083.0,1611,3,345742.0,27991.0,12351752
Cabo Verde,38098,347,37380.0,371.0,67565,615,211025.0,374245.0,563869
Cameroon,100289,1600,80433.0,18256.0,3659,58,1751774.0,63918.0,27406622
CAR,11518,100,6859.0,4559.0,2332,20,60228.0,12194.0,4939278
Chad,5067,174,4874.0,19.0,297,10,148082.0,8691.0,17039483
Comoros,4204,147,4035.0,22.0,4704,164,,,893744
Congo,16408,239,12421.0,3748.0,2881,42,188207.0,33048.0,5695020
Djibouti,13444,181,13188.0,75.0,13354,180,233338.0,231775.0,1006745
DRC,57432,1091,50930.0,5411.0,617,12,306299.0,3290.0,93105246
Egypt,322852,18195,272505.0,32152.0,3079,174,3693367.0,35225.0,104850956
Equatorial Guinea,13166,163,12537.0,466.0,9000,111,238486.0,163017.0,1462954
Eritrea,6788,45,6703.0,40.0,1880,12,23693.0,6562.0,3610464
Eswatini,46383,1239,45013.0,131.0,39447,1054,365426.0,310777.0,1175845
Ethiopia,361647,6333,332482.0,22832.0,3047,53,3638036.0,30656.0,118673098
Gabon,34601,224,28310.0,6067.0,15082,98,1299344.0,566371.0,2294159
Gambia,9956,339,9601.0,16.0,3974,135,103647.0,41375.0,2505064
Ghana,129592,1169,126085.0,2338.0,4060,37,1827212.0,57246.0,31918364
Guinea,30626,385,29407.0,834.0,2252,28,564887.0,41546.0,13596660
Guinea-Bissau,6131,141,5410.0,580.0,3022,70,101677.0,50122.0,2028603
Ivory Coast,61152,689,59707.0,756.0,2246,25,1066678.0,39174.0,27229169
Kenya,252499,5249,245962.0,1288.0,4565,95,2664357.0,48167.0,55314850
Lesotho,21584,656,12189.0,8739.0,9972,303,232781.0,107549.0,2164424
Liberia,5811,287,5458.0,66.0,1115,55,128246.0,24603.0,5212563
Libya,352881,4982,286440.0,61459.0,50461,712,1757954.0,251380.0,6993212
Madagascar,42898,958,41322.0,618.0,1499,33,249510.0,8719.0,28618212
Malawi,61747,2296,57068.0,2383.0,3123,116,421512.0,21317.0,19773778
Mali,15776,558,14546.0,672.0,751,27,444653.0,21164.0,21010178
Mauritania,36866,791,35622.0,453.0,7666,164,483736.0,100593.0,4808827
Mauritius,17047,148,1854.0,15045.0,13375,116,358675.0,281418.0,1274526
Morocco,944076,14606,924009.0,5461.0,25188,390,9998802.0,266766.0,37481555
Mozambique,151195,1927,148643.0,625.0,4667,59,932719.0,28792.0,32395558
Namibia,128444,3545,124019.0,880.0,49384,1363,737368.0,283504.0,2600908
Niger,6236,206,5913.0,117.0,246,8,167719.0,6617.0,25346091
Nigeria,210136,2855,198117.0,9164.0,988,13,3142971.0,14770.0,212795069
Rwanda,99325,1318,45510.0,52497.0,7429,99,3033727.0,226898.0,13370458
Sao Tome and Principe,3691,56,3174.0,461.0,16444,249,14689.0,65440.0,224465
Senegal,73891,1877,71990.0,24.0,4267,108,829953.0,47923.0,17318568
Seychelles,21903,119,21567.0,217.0,220926,1200,21504.0,216901.0,99142
Sierra Leone,6396,121,4393.0,1882.0,781,15,160729.0,19629.0,8188441
Somalia,21269,1180,9927.0,10162.0,1291,72,239292.0,14528.0,16470549
South Africa,2918883,88891,2810740.0,19252.0,48418,1475,18314612.0,303803.0,60284536
South Sudan,12279,133,11889.0,257.0,1080,12,245170.0,21572.0,11365010
Sudan,39550,3038,32872.0,3640.0,875,67,238579.0,5280.0,45183218
Tanzania,26034,724,,,420,12,,,61949328
Togo,25967,240,25440.0,287.0,3044,28,539323.0,63215.0,8531529
Tunisia,711397,25132,684968.0,1297.0,59382,2098,3035820.0,253406.0,11980051
Uganda,125645,3198,96481.0,25966.0,2638,67,1773181.0,37235.0,47620779
Zambia,209629,3659,205793.0,177.0,11002,192,2569408.0,134847.0,19054301
Zimbabwe,132588,4663,126978.0,947.0,8754,308,1479997.0,97721.0,15145203
